ingredient,description,label,sccs opinions,chemical iupac name,identified ingredient substance,cmr
ascorbic acid,"If Vit C was a person it would be someone like Beyoncé, Jennifer Lopez or Mariah Carey. Serious performance, A-list superstar but at the same time shows some major divaish behaviour. But before we dive into it let’s just take a quick look where Vit C comes from. By the 18th century sailors noticed that if they eat plenty of citrus fruits that helps to prevent scurvy (an ugly disease that causes bleeding gums and other bad things - caused by Vit C deficiency). At that time they had no clue what it was inside citrus fruits that helped. Scientists managed to figure out only in the 1930s what Vitamin C is. Since then it’s been a much researched, lovely vitamin that has turned out to have tremendous health benefits not only for our body but also for our skin. It’s the primary water-soluble antioxidant in our tissue and plays a big role in the complicated process where our skin creates some nice new skin-firming collagen. So it’s really good to have plenty of Vit C in our body and in our skin but the trick is that our body cannot make it for itself (fun fact: some animals, like mice can!). We have to take it entirely from outside sources. Citrus fruits, black currants, red pepper or guava are for example awesome Vit C rich foods that you should eat regularly. And here is an another trick: eating Vit C does not help our skin to have high levels of it. And of course when the sun shines upon us or when we face environmental pollution that is also not good for the Vit C levels in our skin. But here is good news: putting some lovely Vit C cream or serum on our skin actually helps. So how does it help exactly? Let’s see: Great antioxidant and UV protection booster Multiple studies showed that animal skin treated with topical ascorbic acid have less skin reddening (it’s called erythema), fewer sunburn cells, and decreased tumor formation after UV exposure. What this means is that it’ a great idea to use your Vit C serum in the morning under your sunscreen (not instead of it!).  For even better protection choose a serum that contains Vit E as well as it doubles the photoprotection properties of Vit C. And wait, it gets even better: Ferulic acid further doubles the photoprotection of Vit C + E. So this trio, Vit C + E + Ferulic acid is really effective . If you are into protecting your skin from UV rays (and you should be if you want lovely skin for a long time) you should try a serum containing the magic trio. (BTW, this was discovered by American researcher, Sheldon Pinnell in 2005 and Skinceuticals CE Ferulic Serum was the first one on the market containing all three actives.) Helps skin to make nice collagen Collagen is complicated but the most important thing to know about it is that it’s like tent pole. It helps to keep our skin firm and wrinkle free. Throwing poles on a ramshackle tent does not help. The poles do not go magically to the right place to make the tent nice and firm again. It’s the same with collagen - in a skincare product it does not really help (to be fair it has some hydrating properties, but not wrinkle erasing magic properties). Boosting the collagen production of your skin helps. And Vit C can do that. In a study from 1999 a 10% Vit C serum (Cellex-C) was shown to decrease wrinkles when applied for a 3 month period. A few years later another study using a 5% Vit C cream for a 6 month period showed statistically significant improvement in skin hydration, wrinkles, glare, brown spots and skin density. Helping your skin to make extra collagen is always nice and Vit C is one of the very very few ingredients that is proved to do so in peer reviewed studies. A-list superstar, right? Fades brown spots Brown spots or hyperpigmentation is just not nice and frankly it is very difficult to fade them just with skincare. But Vit C can help. For brown spots to form the body needs an enzyme (stuffs that help chemical reactions in our body) called tyrosinase. Vit C works by inhibiting this enzyme so brown spots cannot form that effectively. That is all nice and lovely, and an A-list superstar performance. But we have started our description saying that Vit C is such a diva. So what about that? Well, here are its major diva demands: Extremely unstable, oxidizes very easily If you ever tried a pure Vit C serum and you have not used it up in a month or two then you must have noticed that it changed its color and started to become brownish. Yes, that was the Vit C going wrong in the product. There are some tips and tricks that help to stabilize Vit C. Low pH (below 3.5pH) or waterless formulation helps. Also some other ingredients help, like ferulic acid, glutathione, citric acid or sodium metabisulfite. These are all shown in research studies to help with the stability issues. Also protecting the formula from air and light is super important. The best is a totally airless packaging when it comes to Vit C formulas. But even with all these tricks employed a potent Vit C serum can be used usually only three month after opening it. Diva, see? Does not penetrate skin easily It is water soluble and skin is just not attracted to water soluble things but rather to oil soluble things. So this makes it a little tricky for Vit C to actually get into your skin. But good news: low pH (again below 3.5pH) solves the problem, so look out for water based Vit C serums that state that they have the right pH or waterless formulas can work too. High amount of Vit C can irritate sensitive skin Slight tingling is quite normal but if your skin is super sensitive, rosacea prone than a very potent (above 10%) Vit C serum might not be for you. You know, if there are some big advantages there will always be some disadvantages too. That’s just how it is. Still Vit C is so awesome that you should try it at least once and see how your skin reacts. It’s always individual so you never know for sure until you try it. If you are still here, congrats! You are now a true  “Vitamin C and the skin”  expert. :)",safe,,,,
ferulic acid,"Ferulic Acid (FA) is a goodie that can be found naturally in plant cell walls. There is a lot of it especially in the bran of grasses such as rice, wheat and oats. FA - whose main job is to be an antioxidant - owes its fame to a 2005 research that discovered that adding in 0.5% FA to a 15% Vitamin C + 1% Vitamin E solution not only stabilizes the highly unstable, divaish Vit C, but it also doubles the photoprotection abilities of the formula. Couple of other studies show that FA just by itself is also a nice addition to cosmetic formulations: it can penetrate the skin (which is kind of important to do the job) and it has protecting properties against UV caused skin damage. So if you spot it on the ingredient list be happy about it. :)",safe,,,,
limonene,"A super common and cheap fragrance ingredient . It's in many plants, e.g. rosemary, eucalyptus, lavender, lemongrass, peppermint and it's the main component (about 50-90%) of the peel oil of citrus fruits. It does smell nice but the problem is that it oxidizes on air exposure and the resulting stuff is not good for the skin. Oxidized limonene can cause allergic contact dermatitis and counts as a frequent skin sensitizer . Limonene's nr1 function is definitely being a fragrance component, but there are several studies showing that it's also a penetration enhancer, mainly for oil-loving components. All in all, limonene has some pros and cons, but - especially if your skin is sensitive - the cons probably outweigh the pros.",safe,,,,
panthenol,"An easy-to-formulate, commonly used, nice to have ingredient that’s also called pro-vitamin B5. As you might guess from the “pro” part, it’s a precursor to vitamin B5 (whose fancy name is pantothenic acid). Its main job in skincare products is to moisturise the skin . It’s a humectant meaning that it can help the skin to attract water and then hold onto it. There is also research showing that panthenol can help our skin to produce more lovely lipids that are important for a strong and healthy skin barrier. Another great thing about panthenol is that it has anti-inflammatory and skin protecting abilities. A study shows that it can reduce the irritation caused by less-nice other ingredients (e.g. fragrance, preservatives or chemical sunscreens) in the product. Research also shows that it might be useful for wound healing as it promotes fibroblast (nice type of cells in our skin that produce skin-firming collagen) proliferation. If that wasn’t enough panthenol is also useful in nail and hair care products . A study shows that a nail treatment liquide with 2% panthenol could effectively get into the nail and significantly increase the hydration of it. As for the hair the hydration effect is also true there. Panthenol might make your hair softer, more elastic and helps to comb your hair more easily.",safe,,,,
linalool,"Linalool is a super common fragrance ingredient. It’s kind of everywhere - both in plants and in cosmetic products. It’s part of 200 natural oils including lavender, ylang-ylang, bergamot, jasmine, geranium and it can be found in 90-95% of prestige perfumes on the market. The problem with linalool is, that just like limonene it oxidises on air exposure and becomes allergenic . That’s why a product containing linalool that has been opened for several months is more likely to be allergenic than a fresh one. A study made in the UK with 483 people tested the allergic reaction to 3% oxidised linalool and 2.3% had positive test results.",safe,,,,
tocopherol,"Vitamin E is the major fat-soluble antioxidant in our skin . As a strong antioxidant it’s an A-player in protecting the skin cells from the nasty little things called free-radicals that want to destroy the lovely collagen that makes our skin nice and firm. Because it’s fat soluble our skin just loves to absorb it (as opposed to water soluble things where we have to trick our skin to absorb them). Vit E can be found in many foods: vegetables, oils, seeds, nuts, corn, soy, whole wheat flour, margarine and even some meats and dairy products. The natural form is denoted by a ‘d’ in the beginning of the name and  ‘dl’ denotes the synthetic form. While this is absolutely not always true, in this case research shows that the natural form is more active and is better absorbed . The name tocopherol actually refers to a whole group of stuff and it has four subtypes : alpha, beta, gamma and delta. The subtypes are quite different: alpha-tocopherol is the nicest and most active one, while delta-tocopherol seems to be the lazy guy and does not even have antioxidant properties. In cosmetic products mixed tocopherol (containing all subtypes) or alpha-tocopherol is the best choice. There are lots of studies showing that Vit E has some nice photoprotection properties , meaning it can protect the skin from UV (and in case of Vit E it’s mainly UVB) rays. If you put it on your skin,  it lowers the production of sunburn cells, reduces the damage caused by UVB rays and inhibits photocarcinogenesis. What it does not do is helping agains UVA caused skin issues like sagging. But if you combine it with Vit C (especially in high amount like 15%), the two together work in synergy , give broad spectrum protection and double each other's effectiveness. There is also this urban legend that Vit E helps in wound healing. Well, that just seems to be a legend. Several studies were made to prove this point but so far none of them managed to do so. In some cases it made things even worse. :( So if you have some surgical scars do not put Vit E containing stuff on it. It’s an urban legend , no proof.",safe,,,,
biosaccharide gum-1,"Biosaccharide Gum-1 is a pretty interesting kind of sugar ingredient that is created from sorbitol via bacterial fermentation. According to the manufacturer it’s a “S.M.A.R.T.” sugar : it has Soothing, Moisturizing, Anti-aging, Restructuring and Touch properties. Let’s look at them quickly one by one. Soothing : the manufacturer tested out the soothing effect in vivo (meaning on humans that is always a good thing!) by measuring how 3% Biosaccharide Gum-1 decreased the tingling sensation caused by 10% lactic acid. The result was good: the tingling was decreased by 47%. Moisturizing : Compared to famous hyaluronic acid , it turns out that the two are great together. HA has a quicker effect and provides more instant hydration (much more hydration was measured after 1h of application), while our nice sugar has a somewhat delayed effect demonstrating stronger hydration after 3h of application. After 8 hours both had similar moisturizing effect. Anti-aging : According to ex-vivo tests (meaning not on humans, so do not trust it too much) Biosaccharide Gum-1 can stimulate a protein in our skin called sirtuin-1 . This is supposed to help our skin cells to live longer, and function better. Resurfacing :  The sirtuin-1 stimulation also results in quicker cell renewal - something that happens anyway but slows down as we age. And the quicker cell renewal is good because it helps the regeneration of the barrier function. That is especially nice for fragile, sensitive skin. Touch : our fermented sugar is not only good to the skin, but it also feels great on the skin. It gives a nice “soft touch” feeling and makes the products pleasant to use. The bottom line is that the above info is from the manufacturer (and we could not find any relevant independent research) so obviously take it with a grain of salt. But Biosaccharide Gum-1 does look as an interesting and promising ingredient that’s why it earned our goodie rating.",safe,,,,
beta-glucan,"Beta-Glucan is a nice big molecule composed of many smaller sugar molecules (called polysaccharide). It’s in the cell walls of yeast, some mushrooms, seaweeds, and cereals. It’s a real goodie no matter if you eat it or put it on your face. Eating it is anti-diabetic, anti-cancer, and even lowers blood cholesterol. Putting it on your face also does a bunch of good things: it‘s shown to have intensive skin repairing & wound healing properties , it’s a mild antioxidant , a great skin soother, and moisturizer , and it even shows promising anti-aging benefits . The manufacturer of the ingredient did a published study with 27 people and examined the effect of 0.1% beta-glucan. They found that despite the large molecular size the smaller factions of beta-glucan penetrate into the skin, even into the dermis (the middle layer of the skin where wrinkles form). After 8 weeks there was a significant reduction of wrinkle depth and height and skin roughness has also improved greatly. Bottom line: Beta-glucan is a great ingredient, especially for sensitive or damaged skin . It soothes, moisturizes, and has some anti-aging magic properties.",safe,,,,
lactococcus ferment lysate,"Lactococcus Ferment Lysate is a fairly new probiotic ingredient that is obtained from the Gram-positive bacteria, Lactococcus lactis. The lysate is a fluid substance that is produced when you break down the cell membrane, which means it contains interesting things including cytoplasm and cell wall fragments. According to the manufacturer , it positively influences both the speed and quality of epidermal growth that results in better barrier function and overall skin quality. To prove their point, the German manufacturer conducted several in-vitro (made in test tubes) tests examining how the treatment with Lactococcus Ferment Lysate (LFL) affects important skin proteins. They found that gene expression influencing the proteins binding the live skin cells together (such as Occludin, Desmocollin 1 and Desmoglein 1) is stimulated by LFL, as well as the expression of enzymes (Kallikrein 5 and 7) breaking the bonds between the shedding dead skin cells. LFL also had a positive influence on epidermal growth and on the thickness of the stratum corneum (the outermost layer of the skin). Another positive finding was that LFL stimulated the production of antimicrobial peptides that play an important role in the immunocompetence of the skin cells. As for in-vivo tests, the manufacturer only did one and that had only 5 volunteers. They did some tape stripping (exactly what it sounds, hurting the skin by stripping off the top layers) and examined skin renewal and barrier recovery. 4 days after the experiment 3% Lactococcus Ferment Lysate used twice daily resulted in thicker stratum corneum (the difference was about 2 µm) and less trans-epidermal water loss. Overall , Lactococcus Ferment Lysate is a promising but fairly unproven ingredient that might help with the natural skin renewal process as well as with a healthy skin barrier and skin flora.",safe,,,,
saccharomyces ferment filtrate,"Saccharomyces Ferment Filtrate is the fancy name of a liquidy, almost-water-like stuff that you get by fermenting and filtering yeast. According to manufacturer info it’s rich in all kinds of good-for-your-skin things : essential minerals, amino acids, beta-glucan and vitamins. It’s definitely great for skin moisturization and soothing , and might have some skin brightening and wrinkle repair magic activity as well.",safe,,,,
citronellol,"Citronellol is a very common fragrance ingredient with a nice rose-like odor . In the UK, it’s actually the third most often listed perfume on the ingredient lists. It can be naturally found in geranium oil (about 30%) or rose oil (about 25%). As with all fragrance ingredients, citronellol can also cause allergic contact dermatitis and should be avoided if you have perfume allergy. In a 2001 worldwide study with 178 people with known sensitization to fragrances citronellol tested positive in 5.6% of the cases. There is no known anti-aging or positive skin benefits of the ingredient. It’s in our products to make it smell nice.",safe,,,,
bifida ferment lysate,"Bifida Ferment Lysate is a probiotic ingredient that’s used in one of the most iconic serums in the world, the Estee Lauder Advanced Night Repair. Based on manufacturer info it potently protects against UV-induced damage in the skin and helps with DNA repair. An Estee Lauder patent from 2009 also talks about DNA repair activity . As far as published research goes we could find one promising one. It showed that applying 10% bacterial extract to sensitive, reactive skin helped with better barrier function and decreased skin sensitivity . Overall, it is definitely a promising ingredient, even for sensitive skin types but not the most proven one (yet).",safe,,,,
azelaic acid,"Azelaic acid is a superstar acid with some serious magic properties. Before we list them out here's just a short intro. Azelaic acid is a so-called carboxylic acid. It’s not an AHA or BHA but a distant relative to them (all being carboxylic acids). It can be found naturally in wheat, rye, and barley. Magic property no.1: Antibacterial effect → Anti-Acne A very cool property of azelaic acid is that it has a great antibacterial effect. It works against multiple bacteria including the evil, acne-causing Propionibacterium acnes (P. acnes). Very few ingredient are proven to work against P. acnes, so this alone makes azelaic acid an awesome choice for acne-prone skin. For acne treatment, 20% is the standard prescription strength choice. Comparing 20% azelaic acid to other acne treatments like 0.05% retinoic acid cream, 5% benzoyl peroxide cream or 2% erythromycin ointment azelaic acid had nothing to be ashamed for as it showed similar effectiveness. There is also a study that showed that 5% azelaic acid is also somewhat effective (about 32% improvement) and it can be made much more effective by combining it with 2% clindamycin (about 64% improvement.) Magic property no. 2: Regulate the production of skin cells → Anti-Acne One of our favourite beauty blogs, xoVain cites dermatologist, Dr. David Lortscher, who gives a great explanation:  “Azelaic acid also works on the cells that line hair follicles by changing the way they mature and proliferate, which decreases follicular ‘plugging’ and helps prevent blackheads, whiteheads, and inflamed acne lesions.” So basically it helps with healthy skin cell production in the pores that is often problematic in acne and blackhead prone skin, which is nice! Magic property no. 3: Anti-inflammatory effect → Anti-rosacea, anti-acne The third magic property of azelaic acid is that it is proven to have an e anti-inflammatory effect. This is cool not only for treating acne, but also for treating rosacea. 15% is the standard prescription strength dose for rosacea treatment. Magic property no. 4: Skin lightening effect → Anti-PIH, anti-melasma Last but not least azelaic acid also shows skin lightening properties. It seems to be especially effective for post-inflammatory hyperpigmentation (that often comes with acne) and melasma. Studies have compared 20% azelaic acid to 2% and 4% Hydroquinone and here again, it has nothing to be ashamed of, azelaic acid showed similar skin lightening properties. (Though interestingly azelaic acid did not seem to be effective for lightening age spots that are called solar lentigines.) So the bottom line is that azelaic acid can be a game changer (or rather skin changer) especially for acne-prone or rosacea skin types. It’s antibacterial, can regulate problematic skin cell production in pores, it’s anti-inflammatory and even helps with PIH and melasma. It really can do a lot.",safe,,,,
salicylic acid,"If you have ever struggled with let’s just call it “problem skin” (you know, acne, blackheads, whiteheads, large pores) then most probably you are familiar with salicylic acid (SA). Even if the name does not ring a bell, you have probably used it. Next to benzoyl peroxide, it’s the gold standard ingredient for treating problem skin . There are two reasons for this: Reason #1: It can exfoliate skin both on the surface and in the pores AHAs are very cool, but they are water soluble and cannot go into the pores. SA is lipid soluble and it can go right into the pores and shed the stuck, dead skin cells out from there. That’s really good for treating blackheads as well as preventing acne formation. This was confirmed also by a study that compared 8% AHA and 2% BHA for treating blackheads. AHA did not decrease the blackhead density statistically significantly, but BHA did. Reason #2: SA is a potent anti-inflammatory The chemical structure of SA is very similar to aspirin, and it does have similar anti-irritant and anti-inflammatory effect. That is helpful both for acne and rosacea. So SA is definitely an ingredient to try if you have oily or problem skin, but all in all, it’s more effective against blackheads than inflamed zits. For the latter one,  it’s only moderately effective, and benzoyl peroxide outperforms it by leaps and bounds. But they work in different ways, so a combination therapy is a great way to fight (and win) against acne. (In fact, it’s a good idea to combine SA not only with BP, but with any other antibacterial agent such as azelaic acid or mandelic acid .) What else to know? For at home use 0.5-2% SA is effective and these products are usually gentle enough for daily use. In fact, in the EU 2% is the maximum strength allowed in at home products. There are also professional BHA peels that go in the 20-30% range . Those can fade pigmentation, decrease surface roughness, reduce fine lines and of course, treat acne. Regarding pH requirements for BHA, unlike for AHAs where an acidic pH is super important for efficacy , it might be less relevant for BHA. Oh, and one more things: studies show that SA (at 2%) does not increase skin’s sun sensitivity , but it has photoprotective effects. Not that we want to tell you not to use sunscreen, because please do! Bottom line : SA is a great exfoliant and anti-inflammatory and you should definitely try it if you have oily skin, large pores, blackheads or whiteheads. If you have acne, it is a useful adjacent treatment combined with an antibacterial agent such as benzoyl peroxide or azelaic acid.",safe,,,,
sclerocarya birrea  seed oil,"If you have an interest in elephants and Africa, you have probably heard of elephants getting drunk from the fruit of the Marula tree. Though this seems to be only a legend , what is true is that the Marula fruit is really nice (and elephants do love to eat it) and there is a stone in it with several oil-rich kernels inside. So the Marula oil - similar to many other plant oils - is a really nice nourishing and moisturizing oil that can improve skin hydration and smoothness and it can even reduce skin redness . It's traditionally used in South Africa to massage babies with and as a body lotion for face, feet, and hands. As for its composition, it's loaded with skin goodies: it's very rich in fatty acids , including oleic (73%), palmitic (15%), and linoleic (9%) acids. It also contains some natural antioxidants , including Vitamin E and the oil shows an outstanding oxidative stability. If you have dry skin that needs some pampering, Marula oil is a good choice.",safe,,,,
aloe barbadensis leaf juice,"Aloe Vera is one of today’s magic plants. It does have some very nice properties indeed, though famous dermatologist Leslie Baumann warns us in her book that most of the evidence is anecdotal and the plant might be a bit overhyped. What research does confirm about Aloe is that it’s a great moisturizer and has several anti-inflammatory (among others contains salicylates, polysaccharides, magnesium lactate and C-glucosyl chromone) as well as some antibacterial components. It also helps wound healing and skin regeneration in general. All in all definitely a goodie.",safe,,,,
allantoin,"Super common soothing ingredient . It can be found naturally in the roots & leaves of the comfrey plant, but more often than not what's in the cosmetic products is produced synthetically. It's not only soothing but it' also skin-softening and protecting and can promote wound healing .",safe,,,,
buddleja davidii meristem cell culture,"The extract of summer lilac or  butterfly-bush in itself is a nice ingredient with some antioxidant and anti-inflammatory properties and the manufacturer claims that the meristem cell culture is even better. It contains among others verbascoside and isoverbascoside that have not only antioxidant and anti-inflammatory but also photoprotective activity . What’s more, it has phytosterols, amino acids and polysaccharides, all useful for skin moisture .",safe,,,,
polysorbate 20,"It's a common little helper ingredient that helps water and oil to mix together. Also, it can help to increase the solubility of some other ingredients in the formula.",safe,,,,
saccharomyces ferment,"There is not much info out there about this ingredient but the little we can know is the following: it comes from the fermentation of saccharomyces, that is a type of yeast and according to the manufacturer it's a natural deodorant . It contains a number of enzymes, which bio-converts several malodorous substances, so most often you will spot this ingredient in natural, aluminum- free deodorants.",safe,,,,
glycereth-26,It's a nice glycerin-based humectant and emollient that gives skin a smooth and luxurious feel.,safe,,,,
galactoarabinan,"Galactoarabinan is a natural polysaccharide (a big carbohydrate molecule) that comes from the Larch trees. According to the manufacturer it can do all kinds of good in a formula: it can reduce trans-epidermal-water-loss (a fancy way of saying that it's moisturizing ), improve the appearance of skin’s superficial fine lines, improve the uniformity and spreadability of a formulation and provides SPF enhancement . What's more it can also help to boost the efficacy of AHA exfoliants (while not boosting the irritation side effect).",safe,,,,
