,chemical name inn,sccs opinions,chemical iupac name,identified ingredient substance,cmr
47,"Barium salts, with the exception of barium sulphide under the conditions laid down in Annex III and of barium sulfate, lakes, salts and pigments prepared from the colouring agents when listed in Annex IV",,,BARIUM GLUCONATEBARIUM HEXAFERRITEBARIUM CHLORIDE,
48,Benzene,,,,"Carcinogenic Cat. 1A(),Mutagenic Cat. 1B()"
49,Benzimidazol-2(3H)-one,,"2H-Benzimidazol-2-one, 1,3-dihydro-; N,N'-(1,2-Phenyleneurea) 
 
",,
50,Benzazepines and benzodiazepines,,,,
51,1-Dimethylaminomethyl-1-methylpropyl benzoate (amylocaine) and its salts,,,,
52,"2,2,6-Trimethyl-4-piperidyl benzoate (eucaine) and its salts",,Eucaine,,
53,Isocarboxazid (INN),,,,
54,Bendroflumethiazide (INN) and its derivatives,,,,
55,Beryllium and its compounds,,,EMERALD,
56,"Bromine, elemental",,,,
57,Bretylium tosilate (INN),,,,
58,Carbromal (INN),,,,
59,Bromisoval (INN),,,,
60,Brompheniramine (INN) and its salts,,"2-Pyridinepropanamine, gamma-(4-bromophenyl)-N,N-dimethyl- 
",,
61,Benzilonium bromide (INN),,,,
62,Tetrylammonium bromide (INN),,,,
63,Brucine,,,,
64,Tetracaine (INN) and its salts,,,,
65,Mofebutazone (INN),,,,
66,Tolbutamide (INN),,,,
67,Carbutamide (INN),,,,
68,Phenylbutazone (INN),,,,
69,"Cantharides, Cantharis vesicatoria",,,,
70,Cantharidine,,"4,7-Epoxyisobenzofuran-1,3-dione, hexahydro-3a,7a-dimethyl-, (3aalpha,4beta,7beta,7aalpha)-;  7-Oxabicyclo(2.2.1)heptane-2,3-dicarboxylic anhydride, 2,3-dimethyl-; (1R,2S)-Hexahydro-1,2-dimethyl-3,6-epoxyphthalic anhydride 

",,
71,Phenprobamate (INN),,"Benzenepropanol, carbamate",,
72,Nitroderivatives of carbazole,,,,
73,Carbon disulphide,,,,Reprotoxic Cat. 2(C=>1%)
74,Catalase,,Catalase,CATALASE,
75,Cephaeline and its salts,,,,
76,Chenopodium ambrosioides L. (essential oil),,,,
77,"2,2,2-Trichloroethane-1,1-diol",,,,
78,Chlorine,,,,
79,Chlorpropamide (INN),,,,
81,"4-Phenylazophenylene-1,3-diamine citrate hydrochloride (Chrysoidine citrate hydrochloride)",,,,
82,Chlorzoxazone (INN),,,,
83,2-Chloro-6-methylpyrimidin-4-yldimethylamine (crimidine-ISO),,,,
84,Chlorprothixene (INN) and its salts,,,,
85,Clofenamide (INN),,"4-Chloro-m-benzenedisulfonamide 
",,
86,"N,N-bis(2-Chloroethyl)methylamine N-oxide and its salts",,"Nitrogen mustard N-oxide
",,
87,Chlormethine (INN) and its salts,,"Mechlorethamine; 2-Chloro-N-(2-chloroethyl)-N-methylethanamine 

",,
88,Cyclophosphamide (INN) and its salts,,"2H-1,3,2-Oxazaphosphorin-2-amine, N,N-bis(2-chloroethyl)tetrahydro-, 2-oxide ",,
89,Mannomustine (INN) and its salts,,"1,6-Bis((2-chloroethyl)amino)-1,6-dideoxy-D-mannitol 
",,
90,Butanilicaine (INN) and its salts,,2-Butylamino-6'-chloro-o-acetotoluidide ,,
91,Chlormezanone (INN),,"2-(p-Chlorophenyl)tetrahydro-3-methyl-4H-1,3-thiazin-4-one 1,1-dioxide ",,
92,Triparanol (INN),,"Benzeneethanol, 4-chloro-alpha-(4-(2-(diethylamino)ethoxy)phenyl)-alpha-(4-methylphenyl)- ",,
93,"2-[2-(4-Chlorophenyl)-2-phenylacetyl]indan 1,3-dione (chlorophacinone - ISO)",,"2-[2-(4-chlorophenyl)phenylacetyl]indan 1,3-dione",,
94,Chlorphenoxamine (INN),,"Ethanamine, 2-(1-(4-chlorophenyl)-1-phenylethoxy)-N,N-dimethyl- ",,
95,Phenaglycodol (INN),,"2,3-Butanediol, 2-(4-chlorophenyl)-3-methyl-",,
96,Chloroethane,,,,Carcinogenic Cat. 2()
97,Chromium; chromic acid and its salts,,,CHROMIUM,
98,"Claviceps purpurea Tul., its alkaloids and galenical preparations",,,,
99,"Conium maculatum L. (fruit, powder, galenical preparations)",,,CONIUM MACULATUM ROOT EXTRACT,
100,Glycyclamide (INN),,"Benzenesulfonamide, N-((cyclohexylamino)carbonyl)-4-methyl- ",,
101,Cobalt benzenesulphonate,,,,
102,"Colchicine, its salts and derivatives",,"Acetamide, N-((7S)-5,6,7,9-tetrahydro-1,2,3,10-tetramethoxy-9-oxobenzo(a)heptalen-7-yl)- 
",,Mutagenic Cat. 1B()
103,Colchicoside and its derivatives,,,,
104,Colchicum autumnale L. and its galenical preparations,,,,
105,Convallatoxin,,"Card-20(22)-enolide, 3-((6-deoxy-alpha-L-mannopyranosyl)oxy)-5,14-dihydroxy-19-oxo-, (3beta,5beta)- 
",,
106,Anamirta cocculus L. (fruit),,,,
107,Croton tiglium L. (oil),,,,
108,1-Butyl-3-(N-crotonoylsulphanilyl)urea,,,,
109,Curare and curarine,,"Tubocuraranium, 7',12'-dihydroxy-6,6'-dimethoxy-2,2,2',2'-tetramethyl-, (1'-alpha)- (Curarine) 
",,
110,Synthetic curarizants,,,,
111,Hydrogen cyanide and its salts,,,,
112,"Feclemine (INN); 2-(alpha-Cyclohexylbenzyl)-N,N,N',N'-tetraethyl-1,3-propanediamine",,,,
113,Cyclomenol (INN) and its salts,,"2-Cyclohexyl-3,5-xylenol 
",,
114,Sodium hexacyclonate (INN),,,,
115,Hexapropymate (INN),,,,
117,"O,O'-Diacetyl-N-allyl-N-normorphine; Diacetylnalorphine",,,,
118,Pipazetate (INN) and its salts,,,,
119,"5-(alpha,beta-Dibromophenethyl)-5-methylhydantoin",,,,
120,"N,N'-Pentamethylenebis(trimethylammonium) salts, e.g. pentamethonium bromide (INN)",,,,
121,"N,N'-[(Methylimino)diethylene]bis(ethyldimethylammonium) salts, e.g. azamethonium bromide (INN)",,,,
122,Cyclarbamate (INN),,,,
123,Clofenotane (INN); DDT (ISO),,"dicophane;1,1,1-trichloro-2,2-bis((4-chlorophenyl)ethane; dichlorodiphenyltrichloroethane",,Carcinogenic Cat. 2()
124,"N,N'-Hexamethylenebis (trimethylammonium) salts, e.g. hexamethonium bromide (INN)",,,,
125,"Dichloroethanes (ethylene chlorides) e.g. 1,2-Dichloroethane",,,ETHYLENE DICHLORIDE,
126,"Dichloroethylenes (acetylene chlorides) e.g. Vinylidene chloride (1,1-Dichloroethylene)",,,,
127,Lysergide (INN) (LSD) and its salts,,"9,10-didehydro-N,N-diethyl-6-methylergoline-8beta-carboxamide",,
128,2-Diethylaminoethyl 3-hydroxy-4-phenylbenzoate and its salts,,,,
129,Cinchocaine (INN) and its salts,,"4-Quinolinecarboxamide, 2-butoxy-N-(2-(diethylamino)ethyl)- 
",,
130,3-Diethylaminopropyl cinnamate,,,,
131,"O,O'-Diethyl-O-4-nitrophenyl phosphorothioate (Parathion - ISO)",,"O,O-Diethyl O-4-nitrophenyl phosphorothioate",,
132,"[Oxalylbis(iminoethylene)]bis[(o-chlorobenzyl)diethylammonium] salts, e.g. ambenonium chloride (INN)",,,,
133,Methyprylon (INN) and its salts,,,,
134,Digitaline and all heterosides of Digitalis purpurea L.,,,,
135,7-[2-Hydroxy-3-(N-(2-hydroxyethyl)-N-methylamino)propyl]theophylline; (Xanthinol),,,,
136,Dioxethedrin (INN) and its salts,,,,
137,Piprocurarium iodide (INN),,,,
138,Propyphenazone (INN),,,,
139,Tetrabenazine (INN) and its salts,,,,
140,Captodiame (INN),,"Ethanamine, 2-(((4-(butylthio)phenyl)phenylmethyl)thio)-N,N-dimethyl- ; 2-((p-(Butylthio)-alpha-phenylbenzyl)thio)-N,N-dimethylethylamine 
 
",,
141,Mefeclorazine (INN) and its salts,,"1-o-Chlorophenyl-4-(3,4-dimethoxyphenethyl)piperazine ",,
142,Dimethylamine,,,,
143,"1,1-Bis(dimethylaminomethyl)propyl benzoate (amydricaine, alypine) and its salts",,,,
144,Methapyrilene (INN) and its salts,,"1,2-Ethanediamine, N,N-dimethyl-N'-2-pyridinyl-N'-(2-thienylmethyl)- 
",,
145,Metamfepramone (INN) and its salts,,"1-Propanone, 2-(dimethylamino)-1-phenyl-",,
146,Amitriptyline (INN) and its salts,,,,
147,Metformin (INN) and its salts,,,,
148,Isosorbide dinitrate (INN),,,,
149,Malononitrile,,,,
150,Succinonitrile,,,,
151,Dinitrophenol isomers,,,,
152,Inproquone (INN),,"2,5-Bis(ethyleneimino)-3,6-dipropoxy-p-benzoquinone ",,
153,Dimevamide (INN) and its salts,,,,
154,Diphenylpyraline (INN) and its salts,,,,
155,Sulfinpyrazone (INN),,,,
156,"N-(3-Carbamoyl-3,3-diphenylpropyl)-N,N-diisopropylmethylammonium salts, e.g. isopropamide iodide (INN)",,,,
157,Benactyzine (INN),,,,
158,Benzatropine (INN) and its salts,,,,
159,Cyclizine (INN) and its salts,,"Piperazine, 1-(diphenylmethyl)-4-methyl-",,
160,"5,5-Diphenyl-4-imidazolidone (Doxenitoin (INN))",,,,
161,Probenecid (INN),,,,
162,Disulfiram (INN); thiram (ISO) (INN),,,THIRAM,
163,"Emetine, its salts and derivatives",,,,
164,Ephedrine and its salts,,"Benzenemethanol, alpha-((1S)-1-(methylamino)ethyl)-, (alphaR)- 
",,
165,Oxanamide (INN) and its derivatives,,"2,3-Epoxy-2-ethylhexanamide ",,
166,Eserine or physostigmine and its salts,,"Pyrrolo(2,3-b)indol-5-ol, 1,2,3,3a,8,8a-hexahydro-1,3a,8-trimethyl-, methylcarbamate (ester), (3aS,8aR)- ",,
167,"4-Aminobenzoic acid and its esters, with the free amino group",,,PABAGLYCERYL PABABUTYL PABAETHYL PABADEFINED CELL CULTURE MEDIA,
168,Choline salts and their esters e.g. choline chloride (INN),"Opinion concerning Choline Chloride,Opinion on Choline chloride,Opinion on Clarification of Annex II, entry 168 of the Cosmetics Directive: Cholin salts and their esters e.g. Choline chloride (INN)",,CHOLINE CHLORIDEDEFINED CELL CULTURE MEDIA,
169,Caramiphen (INN) and its salts,,,,
170,Diethyl 4-nitrophenyl phosphate (Paraoxon - ISO),,,,
171,Metethoheptazine (INN) and its salts,,,,
172,Oxpheneridine (INN) and its salts,,Ethyl 1-(beta-hydroxyphenethyl)-4-phenyl-4-piperidyl-carboxylate ,,
173,Ethoheptazine (INN) and its salts,,,,
174,Metheptazine (INN) and its salts,,,,
175,Methylphenidate (INN) and its salts,,,,
176,Doxylamine (INN) and its salts,,,,
177,Tolboxane (INN),,"p-Tolueneboronic acid, cyclic 2-methyl-2-propyltrimethylene ester ",,
178,4-Benzyloxyphenol and 4-ethoxyphenol,,,,
179,Parethoxycaine (INN) and its salts,,"Benzoic acid, 4-ethoxy-, 2-(diethylamino)ethyl ester 
",,
180,Fenozolone (INN),,"2-Ethylamino-5-phenyl-2-oxazolin-4-one 
",,
181,Glutethimide (INN) and its salts,,"2,6-Piperidinedione, 3-ethyl-3-phenyl- 
",,
182,Ethylene oxide,,Oxirane,,"Carcinogenic Cat. 1B(),Mutagenic Cat. 1B()"
183,Bemegride (INN) and its salts,,"2,6-Piperidinedione, 4-ethyl-4-methyl- 
",,
184,Valnoctamide (INN),,"Pentanamide, 2-ethyl-3-methyl- ",,
185,Haloperidol (INN),,"1-Butanone, 4-(4-(4-chlorophenyl)-4-hydroxy-1-piperidinyl)-1-(4-fluorophenyl)- 
",,
186,Paramethasone (INN),,"Pregna-1,4-diene-3,20-dione, 6-fluoro-11,17,21-trihydroxy-16-methyl-, (6alpha,11beta,16alpha)- 

",,
187,Fluanisone (INN),,"1-Butanone, 1-(4-fluorophenyl)-4-(4-(2-methoxyphenyl)-1-piperazinyl)- ",,
188,Trifluperidol (INN),,"1-Butanone, 1-(4-fluorophenyl)-4-(4-hydroxy-4-(3-(trifluoromethyl)phenyl)-1-piperidinyl)- ",,
189,Fluoresone (INN),,"Ethyl p-fluorophenyl sulfone 
",,
190,Fluorouracil (INN),,"2,4(1H,3H)-Pyrimidinedione, 5-fluoro- 
",,
191,"Hydrofluoric acid, its normal salts, its complexes and hydrofluorides with exception of those given in Annex III",,,PALMITYL TRIHYDROXYETHYL PROPYLENEDIAMINE DIHYDROFLUORIDEAMMONIUM HEXAFLUOROPHOSPHATESACCHAROMYCES/FLUORIDE FERMENT,
192,"Furfuryltrimethyl ammonium salts, e.g. furtrethonium iodide (INN)",,,,
193,Galantamine (INN),,"6H-Benzofuro(3a,3,2-ef)(2)benzazepin-6-ol, 4a,5,9,10,11,12-hexahydro-3-methoxy-11-methyl-, (4aS,6R,8aS)- 
",,
194,Progestogens,,,PROGESTERONE,
195,"1,2,3,4,5,6-Hexachlorocyclohexane (BHC-ISO)",,,,
196,"(1R,4S,5R,8S)-1,2,3,4,10,10-Hexachloro-6,7-epoxy-1,4,4a,5,6,7,8,8a-octahydro-1,4:5,8-dimethanonaphthalene (endrin - ISO)",,,,
197,Hexachloroethane,,,,
198,"(1R,4S,5R,8S)-1,2,3,4,10,10-Hexachloro-1,4,4a,5,8,8a-hexahydro-1,4:5,8-dimethanonaphthalene (Isodrin-ISO)",,,,
199,"Hydrastine, hydrastinine and their salts",,,,
200,Hydrazides and their salts e.g. Isoniazid (INN),,,ADIPIC ACID DIHYDRAZIDESTEARIC HYDRAZIDE,
201,"Hydrazine, its derivatives and their salts",,,ADIPIC ACID DIHYDRAZIDEAMINOGUANIDINE BICARBONATEAMINOGUANIDINE HClPOLYURETHANE-18POLYURETHANE-19,Carcinogenic Cat. 1B()
202,Octamoxin (INN) and its salts,,(1-Methylheptyl)hydrazine ,,
203,Warfarin (INN) and its salts,,"2H-1-Benzopyran-2-one, 4-hydroxy-3-(3-oxo-1-phenylbutyl)",,Reprotoxic Cat. 1A()
204,Ethyl bis(4-hydroxy-2-oxo-1-benzopyran-3-yl)acetate and salts of the acid,,"2H-1-Benzopyran-3-acetic acid, 4-hydroxy-alpha-(4-hydroxy-2-oxo-2H-1-benzopyran-3-yl)-2-oxo-, ethyl ester ",,
205,Methocarbamol (INN),,"1,2-Propanediol, 3-(2-methoxyphenoxy)-, 1-carbamate 
",,
206,Propatylnitrate (INN),,"1,3-Propanediol, 2-ethyl-2-((nitrooxy)methyl)-, dinitrate (ester) 
",,
207,"4,4'-Dihydroxy-3,3'-(3-methylthiopropylidene) dicoumarin",,,,
208,Fenadiazole (INN),,"Phenol, 2-(1,3,4-oxadiazol-2-yl)- 
",,
209,Nitroxoline (INN) and its salts,,5-Nitro-8-quinolinol ,,
210,"Hyoscyamine, its salts and derivatives",,"Benzeneacetic acid, alpha-(hydroxymethyl)-, (3-endo)-8-methyl-8-azabicyclo(3.2.1)oct-3-yl ester, (alphaS)- 
",,
211,"Hyoscyamus niger L. (leaves, seeds, powder and galenical preparations)",,,,
212,Pemoline (INN) and its salts,,"4(5H)-Oxazolone, 2-amino-5-phenyl- 
",,
213,Iodine,,,MEA-IODINEPVP-IODINEIODINE TRICHLORIDENONOXYNOL-9 IODINENONOXYNOL-12 IODINE,
214,"Decamethylenebis(trimethylammonium) salts, e.g. decamethonium bromide (INN)",,,,
215,"Ipecacuanha (Cephaelis ipecacuanha Brot. and related species) (roots, powder and galenical preparations)",,,,
216,(2-Isopropylpent-4-enoyl)urea (apronalide),,,,
217,"alpha-Santonin [(3S,5aR,9bS)-3,3a,4,5,5a,9b-hexahydro-3,5a,9-trimethylnaphto[1,2-b]furan-2,8-dione]",,,,
218,Lobelia inflata L. and its galenical preparations,,,LOBELIA INFLATALOBELIA INFLATA EXTRACT,
219,Lobeline (INN) and its salts,,2-(6-(beta-Hydroxyphenethyl)-1-methyl-2-piperidyl)acetophenone ,,
220,Barbiturates,,,,
221,"Mercury and its compounds, except those special cases included in Annex V",,,MERCURIC OXIDE,
222,"3,4,5-Trimethoxyphenethylamine (Mescaline) and its salts",,Mescaline,,
223,Metaldehyde,,"Acetaldehyde, homopolymer ",,
224,"2-(4-Allyl-2-methoxyphenoxy)-N,N-diethylacetamide and its salts",,,,
225,Coumetarol (INN),,"3,3'-(2-Methoxyethylidene)bis(4-hydroxycoumarin) 
",,
226,Dextromethorphan (INN) and its salts,,"Morphinan, 3-methoxy-17-methyl-, (9-alpha,13-alpha,14-alpha)- ",,
227,2-Methylheptylamine and its salts,,"2-Heptanamine, N-methyl-; (2-(N-methyl)heptylamine) ",,
228,Isometheptene (INN) and its salts,,,,
229,Mecamylamine (INN),,"Bicyclo(2.2.1)heptan-2-amine, N,2,3,3-tetramethyl- 
",,
230,Guaifenesin (INN),,"1,2-Propanediol, 3-(2-methoxyphenoxy)- ",,
231,Dicoumarol (INN),,"2H-1-Benzopyran-2-one, 3,3'-methylenebis(4-hydroxy- 
",,
232,"Phenmetrazine (INN), its derivatives and salts",,"Morpholine, 3-methyl-2-phenyl- 
",,
233,Thiamazole (INN),,"2H-Imidazole-2-thione, 1,3-dihydro-1-methyl- ",,
234,"3,4-Dihydro-2-methoxy-2-methyl-4-phenyl-2H,5H-pyrano[3,2-c]-[1]benzopyran-5-one (cyclocoumarol)",,,,
235,Carisoprodol (INN),,"Carbamic acid, isopropyl-, 2-(hydroxymethyl)-2-methylpentyl ester carbamate (ester) 
",,
236,Meprobamate (INN),,"1,3-Propanediol, 2-methyl-2-propyl-, 1,3-dicarbamate ",,
237,Tefazoline (INN) and its salts,,"2-((5,6,7,8-Tetrahydro-1-naphthyl)methyl)-2-imidazoline ",,
238,Arecoline,,"3-Pyridinecarboxylic acid, 1,2,5,6-tetrahydro-1-methyl-, methyl ester;  Nicotinic acid, 1,2,5,6-tetrahydro-1-methyl-, methyl ester 
",,
239,Poldine metilsulfate (INN),,"Pyrrolidinium 2-(((hydroxydiphenylacetyl)oxy)methyl)-1,1-dimethyl-, methyl sulfate ",,
240,Hydroxyzine (INN),,"Ethanol, 2-(2-(4-((4-chlorophenyl)phenylmethyl)-1-piperazinyl)ethoxy)- ",,
241,2-Naphthol,,,2-NAPHTHOL,
242,1- and 2-Naphthylamines and their salts,,,,
243,3-(1-Naphthyl)-4-hydroxycoumarin,,,,
244,Naphazoline (INN) and its salts,,,NAPHAZOLINE HCL,
245,Neostigmine and its salts (e.g. neostigmine bromide (INN)),,,,
246,Nicotine and its salts,,"Pyridine, 3-(1-methyl-2-pyrrolidinyl)-, (S)- ",,
247,Amyl nitrites,,,,
248,"Inorganic nitrites, with exception of sodium nitrite",,,,
249,Nitrobenzene,,,,"Carcinogenic Cat. 2(),Reprotoxic Cat. 2()"
250,Nitrocresols and their alkali metal salts,,,3-NITRO-P-CRESOL,
251,Nitrofurantoin (INN),,"Hydantoin, 1-((5-nitrofurfurylidene)amino)-; 2,4-Imidazolidinedione, 1-(((5-nitro-2-furanyl)methylene)amino)- 
 ",,
252,Furazolidone (INN),,"2-Oxazolidinone, 3-((5-nitrofurfurylidene)amino)- ",,
253,"Nitroglycerin; Propane-1,2,3-triyl trinitrate",,,,
254,Acenocoumarol (INN),,"2H-1-Benzopyran-2-one, 4-hydroxy-3-(1-(4-nitrophenyl)-3-oxobutyl)- 
",,
255,Alkali pentacyanonitrosylferrate (2-),,,,
256,"Nitrostilbenes, their homologues and their derivatives",,,,
257,Noradrenaline and its salts,,"Noradrenaline; 1,2-Benzenediol, 4-(2-amino-1-hydroxyethyl)-, (R)- ",,
258,Noscapine (INN) and its salts,,"1(3H)-Isobenzofuranone, 6,7-dimethoxy-3-(5,6,7,8-tetrahydro-4-methoxy-6-methyl-1,3-dioxolo(4,5-g)-isoquinolin-5-yl), (S-(R*,S*))- ",,
259,Guanethidine (INN) and its salts,,"Guanidine, (2-(hexahydro-1(2H)-azocinyl)ethyl)- ",,
260,Oestrogens,,,ESTRATETRAENOLDIOSMETINDIOSGENINESTRADIOLETHINYLESTRADIOL,
261,Oleandrin,,,,
262,Chlortalidone (INN),,"Benzenesulfonamide, 2-chloro-5-(2,3-dihydro-1-hydroxy-3-oxo-1H-isoindol-1-yl)- ",,
263,Pelletierine and its salts,,,,
264,Pentachloroethane,,,,Carcinogenic Cat. 2()
265,Pentaerithrityl tetranitrate (INN),,"1,3-Propanediol, 2,2-bis((nitrooxy)methyl)-, dinitrate (ester) 
",,
266,Petrichloral (INN),,"1,1',1'',1'''-(Neopentanetetryltetraoxy)tetrakis(2,2,2-trichloroethanol) 
",,
267,Octamylamine (INN) and its salts,,"Hexylamine, 1,5-dimethyl-N-isopentyl",,
268,Picric acid,,,,
269,Phenacemide (INN),,"Benzeneacetamide, N-(aminocarbonyl)- 
",,
270,Difencloxazine (INN),,4-(2-(p-Chloro-alpha-phenylbenzyloxy)ethyl)morpholine ,,
271,"2-Phenylindan-1,3-dione (Phenindione (INN))",,,,
272,Ethylphenacemide (pheneturide (INN)),,"Ethylphenylacetylurea; 2-Phenylbutyrylurea  
",,
273,Phenprocoumon (INN),,"2H-1-Benzopyran-2-one, 4-hydroxy-3-(1-phenylpropyl)- ; Coumarin, 3-(alpha-ethylbenzyl)-4-hydroxy- 
",,
274,Fenyramidol (INN),,"Benzenemethanol, alpha-((2-pyridinylamino)methyl)- ",,
275,Triamterene (INN) and its salts,,"2,4,7-Pteridinetriamine, 6-phenyl- 
",,
276,Tetraethyl pyrophosphate   (TEPP - ISO),,,,
277,Tritolyl phosphate,,,TRICRESYL PHOSPHATE,
278,Psilocybine (INN),,"1H-Indol-4-ol, 3-(2-(dimethylamino)ethyl)-, dihydrogen phosphate (ester) 
",,
279,Phosphorus and metalphosphides,,,PHOSPHORUS,
280,Thalidomide (INN) and its salts,,"1H-Isoindole-1,3(2H)-dione, 2-(2,6-dioxo-3-piperidinyl)- ; Phthalimide, N-(2,6-dioxo-3-piperidyl)- 

",,
281,Physostigma venenosum Balf.,,,,
282,Picrotoxin,,"3,6-Methano-8H-1,5,7-trioxacyclopenta(ij)cycloprop(a)azulene-4,8(3H)-dione, hexahydro-2a-hydroxy-9-(1-hydroxy-1-methylethyl)-8b-methyl-, (1aR-(1aalpha,2abeta,3beta,6beta,6abeta,8aS*,8bbeta,9S*))-, 
compd. with (1aR-(1aalpha,2abeta,3beta,6beta,6abeta,8aS*,8bbeta,9R*))-hexahydro-2a-hydroxy-8b-methyl-9-(1-methylethenyl)-3,6-methano-8H-1,5,7-trioxacyclopenta(ij)cycloprop(a)azulene-4,8(3H)-dione (1:1) 
",,
283,Pilocarpine and its salts,,"2(3H)-Furanone, 3-ethyldihydro-4-((1-methyl-1H-imidazol-5-yl)methyl)-, (3S,4R)- 
",,
284,"alpha-Piperidin-2-ylbenzyl acetate, laevorotatory threoform (levofacetoperane (INN)) and its salts",,"2-Piperidinemethanol, alpha-phenyl-, acetate (ester), (R*,R*)-(-)- 

",,
285,Pipradrol (INN) and its salts,,,,
286,Azacyclonol (INN) and its salts,,"4-Piperidinemethanol, alpha,alpha-diphenyl- 
",,
287,Bietamiverine (INN),,"1-Piperidineacetic acid, alpha-phenyl-, 2-(diethylamino)ethyl ester ",,
288,Butopiprine (INN) and its salts,,"2-Butoxyethyl alpha-phenyl-1-piperidineacetate 
",,
289,Lead and its compounds,Opinion on Lead Acetate,,LEAD ACETATE,
